% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 10 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
214.5                                             0.9993346299641838                                0.9834926265482132-0.1772341845439215i
215                                               0.9992213560009099                                0.9831161542105717-0.17867833001937414i
215.5                                             0.9995459004003256                                0.9832044284328463-0.18000294141246062i
216                                               0.9995029728393083                                0.982829851522213-0.18180119821233276i
216.5                                             0.9994442082701573                                0.9825081487037516-0.18321152577141103i
217                                               0.9995136526948482                                0.9819061517419974-0.18678289829269468i
217.5                                             0.9990203793383857                                0.9786907866669581-0.20051449430558083i
218                                               0.9993284770568712                                0.9848674317748096-0.16939169662677195i
218.5                                             0.9993152650594125                                0.982964246560736-0.1800341327750057i
219                                               0.9985393288976759                                0.9815301853086137-0.18351917252281705i
219.5                                             0.998172256458337                                 0.9810508736163146-0.184084320189944i
220                                               0.9984448135039957                                0.9810558213260989-0.18553037771535458i
220.5                                             0.9979778915479761                                0.980461267862833-0.18616007692131495i
221                                               0.9978320477143401                                0.9800973613834203-0.18729110404674956i
221.5                                             0.9984316618319693                                0.9800805554484213-0.19054628881314353i
222                                               0.998071243222262                                 0.9801608521095031-0.18823100312967736i
222.5                                             0.9986149421045465                                0.979965700320753-0.19209119914593362i
223                                               0.9970292762784733                                0.9795737825657095-0.18574870730716903i
223.5                                             0.9981262472337763                                0.9798459649280815-0.1901522822138572i
224                                               0.9985145618698473                                0.9796973768898937-0.1929362070250027i
224.5                                             0.9991435136404453                                0.9790546748068311-0.19934819936148143i
225                                               0.9986485986246385                                0.9783205119177767-0.20046944778667292i
225.5                                             0.9690178463943243                                0.9061483881695169-0.3433521301062232i
226                                               0.9977198774707576                                0.9809614751681405-0.1820976060694078i
226.5                                             0.9932304677127515                                0.9626303578111592-0.24464168944243883i
227                                               0.9981030118642638                                0.9803432139537487-0.18744813988767417i
227.5                                             0.9803965167542803                                0.9632900908581736-0.18234453904182976i
228                                               0.9989248825921875                                0.9806196997283279-0.1903573627852088i
228.5                                             0.9988207838349543                                0.9798897247112357-0.19354349802050022i
229                                               0.9988138692507641                                0.9796066450852128-0.19493580048974174i
229.5                                             0.9989920267760285                                0.9792026067552346-0.1978568282517202i
230                                               0.9869879691902003                                0.9649157315385498-0.20756416443023346i
230.5                                             0.998614298971912                                 0.9789962368869818-0.1969692520986257i
231                                               0.9987004055880419                                0.9787342401215002-0.1987002449306713i
231.5                                             0.99868245695274                                  0.978390875313511-0.20029464528145358i
232                                               0.9993644090543112                                0.9791317722070371-0.20007547260766298i
232.5                                             0.9986528869368756                                0.9773971565572366-0.20494483877664454i
233                                               0.9799443401851529                                0.9459675344889024-0.25580526490653377i
233.5                                             0.9990339674913997                                0.9780247711662082-0.20380484583761252i
234                                               0.9988676274131646                                0.9786814212632928-0.19979792983928987i
234.5                                             0.9989022173075729                                0.9781298346721341-0.2026515883634992i
235                                               0.9986916467529535                                0.9775231797226269-0.20453224293272435i
235.5                                             0.9991335298155363                                0.9777424218004396-0.20563941016610715i
236                                               0.9991424715076482                                0.9774088225402422-0.207262326511378i
236.5                                             0.9976204892563861                                0.9758680445178773-0.20719121668884832i
237                                               0.9989151655503319                                0.9765541338868576-0.21017500221229068i
237.5                                             0.9989010437328263                                0.9760236162255462-0.21255868775596376i
238                                               0.9986353994050856                                0.9748536427771408-0.2166403381392617i
238.5                                             0.9919190632599566                                0.9601321023633533-0.24909792064534975i
239                                               0.9963881798474801                                0.9749471864954903-0.2055903414178348i
239.5                                             0.9775355157253373                                0.9526240220586963-0.21927872012831845i
240                                               0.9842002488753026                                0.962462237910763-0.20570991828789723i
240.5                                             0.9974152816308788                                0.9768759077881128-0.20137205569282884i
241                                               0.9992521885665481                                0.9768487058474997-0.21040803748692957i
241.5                                             0.9994631451598716                                0.9763630265498092-0.2136394601176455i
242                                               0.9995302998357579                                0.9758575668357022-0.21624714920493893i
242.5                                             0.9995522515521393                                0.9752682636485309-0.2189897657492945i
243                                               0.9958007894865751                                0.9723241372771972-0.21495344707689715i
