% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:43
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
158.5                                             0.005070769512278996                              -0.0014382859155341761+0.0048625134520980185i
159                                               0.005029779282051215                              -0.0012877891929746641+0.004862126964673927i
159.5                                             0.0047334746278322685                             -0.0010280794188874324+0.00462047992753912i
160                                               0.005343560978643181                              -0.0011607778999133313+0.0052159599883004155i
160.5                                             0.005212063886847781                              -9.516357113314844E-4+0.00512445113485351i
161                                               0.005193653901816594                              -7.85498583097983E-4+0.005133910091519503i
161.5                                             0.005247294720689257                              -6.221698389157035E-4+0.005210278934694087i
162                                               0.015918644002392464                              0.010669091395684248-0.01181413203182705i
162.5                                             0.0027819123525000726                             -1.5660205504959738E-4+0.0027775010591081207i
163                                               0.0056598138301155836                             -1.168913769714746E-4+0.005658606630395626i
163.5                                             0.004912671572093319                              1.0748884850740869E-4+0.00491149550775529i
164                                               0.005831814117892006                              3.7251275362818457E-4+0.005819904651626938i
164.5                                             0.0059005844991070295                             6.702087622971993E-4+0.005862398625651638i
165                                               0.005687278329426846                              9.175310585135487E-4+0.005612777525702513i
165.5                                             0.005839067173896876                              0.0012770458211524515+0.005697706506302085i
166                                               0.005973205282915152                              0.0016833544874873905+0.005731099285590989i
166.5                                             0.006117935579030798                              0.002154431380246952+0.005726042365978279i
167                                               0.006270329831157474                              0.002701600795894756+0.005658479418635729i
167.5                                             0.00641855055521426                               0.003330366424886211+0.005486934545429891i
168                                               0.0065391024382472724                             0.004034172786826432+0.005146388114388623i
168.5                                             0.006590165441619594                              0.0048128798700290965+0.004501829395322071i
169                                               0.0068154289733063506                             0.0050959045744414675+0.004525685435198759i
169.5                                             0.0063902206901023835                             0.005683044578269337+0.0029219727564808126i
170                                               0.005897687206743573                              0.00567605199643129+0.0016016079802483446i
170.5                                             0.005135627223186361                              0.005121935236469442+3.7476180294364564E-4i
171                                               0.004193946395340535                              0.0041623691767661-5.136820060089409E-4i
171.5                                             0.0030418115865250067                             0.002902253371208241-9.107925654221038E-4i
172                                               0.0017516862969363758                             0.0015662757710036405-7.843373585655757E-4i
172.5                                             2.5676937180961603E-4                             2.1735856345578397E-4-1.3669588579010995E-4i
173                                               0.0017470014644696246                             -0.001274094210578206+0.0011952815816493247i
173.5                                             0.0058821417674096875                             -0.0037977826465930035+0.004491819090429022i
174                                               0.013782307113620499                              0.008420056465264529-0.010911216178589407i
174.5                                             0.005780719740365441                              -0.0026857601403164713+0.005118926956437056i
175                                               0.021537868393441482                              -0.0048634522819111055+0.020981577796600027i
175.5                                             0.06466379440201105                               0.06379343428105107-0.010573743381356152i
176                                               0.018825130786281508                              0.010629217002825053-0.015537222886586221i
176.5                                             0.0117571450640544                                0.0052867020533335736-0.01050148758302829i
177                                               0.005097128207927544                              0.0019618718380926426-0.004704442034816632i
177.5                                             0.012838622432198268                              0.00405595846870726-0.012181109426348096i
178                                               0.008241782398424925                              0.002234368788702369-0.007933131362775963i
